Bowl,Block,ID,Size 1,Size 2,Average size,Date,Day,Bowl 2,Eggs?,Quads,Count 1,Count 2,Total eggs,Estimated total eggs,Spawned?,Viable Count 1,Viable Count 2,Viable total eggs,Viability,Date 2,Day 2,Eggs? 2,1,2,Log estimated eggs
,R,1+2,,,35.5,8/5/2016,,,,,,,58,364.53,Y,21,22,43,0.25862069,,,,,,5.898608853
,S,Solo,38,,38,8/5/2016,,,,"4, 8",0,0,0,0,N,0,0,0,,,,,,,
,S,1,39,,39,8/5/2016,,,,"1, 5",46,40,86,540.51,Y,9,13,22,0.744186047,,,,,,6.292513138
,S,2,37,,37,8/5/2016,,,,"2, 6",29,21,50,314.25,Y,27,21,48,0.04,,,,,,5.750188847
,S,Pair,42,35,38.5,8/5/2016,,,,"3, 7",8,3,11,69.135,Y,6,3,9,0.181818182,,,,,,4.236061115
,S,1+2,,,38,8/5/2016,,,,,,,136,854.76,Y,36,34,70,0.485294118,,,,,,6.750820728
,T,Solo,35,,35,8/5/2016,,,,"4, 8",39,50,89,559.365,Y,35,41,76,0.146067416,,,,,,6.326802212
,T,1,38,,38,8/5/2016,,,,"1, 5",6,7,13,81.705,Y,3,8,11,0.153846154,,,,,,4.4031152
,T,2,34,,34,8/5/2016,,,,"2, 6",23,22,45,282.825,Y,6,7,13,0.711111111,,,,,,5.644828332
,T,Pair,36,34,35,8/5/2016,,,,"3, 7",38,50,88,553.08,Y,0,2,2,0.977272727,,,,,,6.315502657
,T,1+2,,,36,8/5/2016,,,,,,,58,364.53,Y,9,15,24,0.586206897,,,,,,5.898608853
,U,Solo,42,,42,8/5/2016,,,,"4, 8",27,18,45,282.825,Y,34,42,76,1,,,,,,5.644828332
,U,1,55,,55,8/5/2016,,,,"1, 5",75,78,153,961.605,Y,4,14,18,0.882352941,,,,,,6.868603763
,U,2,40,,40,8/5/2016,,,,"2, 6",32,32,64,402.24,Y,26,20,46,0.28125,,,,,,5.997048925
,U,Pair,42,41,41.5,8/5/2016,,,,"3, 7",60,70,130,817.05,Y,56,66,122,0.061538462,,,,,,6.705700292
,U,1+2,,,47.5,8/5/2016,,,,,,,217,1363.845,Y,30,34,64,0.705069124,,,,,,7.218063196
,V,Solo,46,,46,8/5/2016,,,,"4, 8",39,10,49,307.965,Y,19,8,27,0.448979592,,,,,,5.72998614
,V,1,45,,45,8/5/2016,,,,"1, 5",5,4,9,56.565,Y,8,8,16,1,,,,,,4.035390419
,V,2,45,,45,8/5/2016,,,,"2, 6",18,26,44,276.54,Y,7,14,21,0.522727273,,,,,,5.622355476
,V,Pair,49,43,46,8/5/2016,,,,"3, 7",74,61,135,848.475,Y,16,17,33,0.755555556,,,,,,6.74344062
,V,1+2,,,45,8/5/2016,,,,,,,53,333.105,Y,15,22,37,0.301886792,,,,,,5.808457756
,W,Solo,41,,41,8/5/2016,,,,"4, 8",12,18,30,188.55,Y,15,10,25,0.166666667,,,,,,5.239363224
,W,1,40,,40,8/5/2016,,,,"1, 5",1,3,4,25.14,N,3,3,6,-0.5,,,,,,3.224460203
,W,2,40,,40,8/5/2016,,,,"2, 6",19,22,41,257.685,Y,9,8,17,0.585365854,,,,,,5.551737909
,W,Pair,42,39,40.5,8/5/2016,,,,"3, 7",59,40,99,622.215,Y,7,10,17,0.828282828,,,,,,6.433285692
,W,1+2,,,40,8/5/2016,,,,,20,25,45,282.825,Y,12,11,23,0.488888889,,,,,,5.644828332
,X,Solo,36,,36,8/5/2016,,,,"4, 8",2,3,5,31.425,N,5,4,9,-0.8,,,,,,3.447603754
,X,1,39,,39,8/5/2016,,,,"1, 5",19,13,32,201.12,Y,4,5,9,0.71875,,,,,,5.303901745
,X,2,34,,34,8/5/2016,,,,"2, 6",2,4,6,37.71,N,2,1,3,0.5,,,,,,3.629925311
,X,Pair,38,35,36.5,8/5/2016,,,,"3, 7",56,56,112,703.92,Y,9,6,15,0.866071429,,,,,,6.556664713
,X,1+2,,,36.5,8/5/2016,,,,,,,38,238.83,Y,6,6,12,0.684210526,,,,,,5.475752002
,Y,Solo,34,,34,8/5/2016,,,,"4, 8",19,11,30,188.55,Y,8,10,18,0.4,,,,,,5.239363224
,Y,1,33,,33,8/5/2016,,,,"1, 5",6,6,12,75.42,Y,4,1,5,0.583333333,,,,,,4.323072492
,Y,2,35,,35,8/5/2016,,,,"2, 6",7,10,17,106.845,Y,0,5,5,0.705882353,,,,,,4.671379186
,Y,Pair,34,34,34,8/5/2016,,,,"3, 7",54,56,110,691.35,Y,15,4,19,0.827272727,,,,,,6.538646208
,Y,1+2,,,34,8/5/2016,,,,,,,29,182.265,Y,4,6,10,0.655172414,,,,,,5.205461672
,Z,Solo,32,,32,8/5/2016,,,,"4, 8",17,15,32,201.12,Y,11,13,24,0.25,,,,,,5.303901745
,Z,1,33,,33,8/5/2016,,,,"1, 5",28,59,87,546.795,Y,9,20,29,0.666666667,,,,,,6.304073961
,Z,2,32,,32,8/5/2016,,,,"2, 6",4,25,29,182.265,Y,0,3,3,0.896551724,,,,,,5.205461672
,Z,Pair,33,32,32.5,8/5/2016,,,,"3, 7",44,64,108,678.78,Y,13,19,32,0.703703704,,,,,,6.520297069
,Z,1+2,32.5,,32.5,8/5/2016,,,,,,,116,729.06,Y,9,23,32,0.724137931,,,,,,6.591756033
,AA,Solo,40,,40,8/16/2016,,,,"4, 8",4,5,9,56.565,Y,2,2,4,0.555555556,,,,65,89,
,AA,1,54,,54,8/16/2016,,,,"1, 5",55,49,104,653.64,Y,1,2,3,0.971153846,,,,,,
,AA,2,37,,37,8/16/2016,,,,"2, 6",2,2,4,25.14,Y,0,0,0,1,,,,,,
,AA,Pair,53,40,46.5,8/16/2016,,,,"3, 7",29,20,49,307.965,Y,12,5,17,0.653061224,,,,,,
,AA,1+2,45.1,,45.1,8/16/2016,,,,,,,108,678.78,Y,1,2,3,0.972222222,,,,,,
,AB,Solo,35,,35,8/16/2016,,,,"4, 8",1,5,6,37.71,Y,2,5,7,1,,,,,,
,AB,1,36,,36,8/16/2016,,,,"1, 5",0,0,0,0,N,0,0,0,,,,,,,
,AB,2,34,,34,8/16/2016,,,,"2, 6",0,0,0,0,N,0,0,0,,,,,,,
,AB,Pair,34,35,34.5,8/16/2016,,,,"3, 7",7,12,19,119.415,Y,2,7,9,0.526315789,,,,,,
,AB,1+2,35,,35,8/16/2016,,,,,,,0,0,N,0,0,0,,,,,,,
,AC,Solo,32,,32,8/16/2016,,,,"4, 8",30,14,44,276.54,Y,9,11,20,0.545454545,,,,,,
,AC,1,32,,32,8/16/2016,,,,"1, 5",5,6,11,69.135,Y,0,19,19,1,,,,,,
,AC,2,31,,31,8/16/2016,,,,"2, 6",21,24,45,282.825,Y,24,20,44,0.022222222,,,,,,
